Data Series,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 
Health Care,101.2,99,98,100,99,97,94.5,93.5,93.8,91.3,88,84.2,82.4,80.9,79.5,75.3,72.3,71.6,71.3,67.2,66,64.1,62.3,61.4,61.5,59.2,57.2,56.2,55.4,53.9
Medicines & Health Products,99.7,98.5,98.5,100,100.8,100.3,100.3,100.3,99.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Outpatient Services,98.8,95.9,95.6,100,98.8,97,94.6,92,96.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Hospital Services,104.2,102.5,101.2,100,97.9,94.2,90.1,89.8,87.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Health Insurance,106.8,104.8,100,100,99.9,99.5,98,97.5,97.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Transport,124.7,107.6,99.6,100,99.6,100.3,98,100,100.3,101.4,99.2,92.7,83.3,76.1,78.5,75.1,73.2,74.1,75.7,76,76.3,76.9,79.9,78,77.1,78.8,76.2,75.3,73.8,71.2
Private Transport,130.5,109.6,98.6,100,100.5,101.4,97,99.5,100.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cars,145.8,115.9,101.4,100,100.6,108.6,109.8,115.2,114.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrol,129.7,109,92.6,100,100,93.7,85.8,89.4,94,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Public Transport,112.4,105.2,103.5,100,97.4,98.5,101,101.3,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Bus & Train Fares,109.3,107,107,100,95.8,97.9,102.1,103.1,100.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Point-To-Point Transport Services,118.7,103.7,99,100,100,100,100,99.7,99.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Transport Services,115.1,99.9,96.2,100,99.1,96.4,96.4,99.3,103.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Communication,98.8,100.1,100.7,100,100.9,101.9,101.4,101.8,101.5,101.7,103.2,103.3,104.8,107.2,107,106.8,105.9,107,108.3,108.4,107,107.3,110.2,113.8,115.1,119.2,121.7,122.4,125,124.7
Postage & Courier Services,97.1,93,102.5,100,100,100,100,100,95.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Telecommunication Equipment,98.8,95,98.6,100,111.2,118,119.1,117.5,117.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Telecommunication Services,98.8,100.4,100.8,100,100.5,101.3,100.6,101.1,100.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Recreation & Culture,103.8,99.4,98.5,100,99,97.9,97.6,96.8,96.4,94.6,93.4,92.5,94.8,94.1,95,91.8,89.4,90,89.3,88,89.4,89.3,87.3,86.6,87.4,90.6,91.5,90.4,89.4,88.1
Recreational & Cultural Goods,100.8,98.8,98.9,100,101.3,101.7,102.7,103.3,103.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Recreational & Cultural Services,105.7,100.8,99.7,100,98.7,97.6,97,96.9,96.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
"Newspapers, Books & Stationery",101.2,100.6,100.3,100,99.8,99.8,98.6,93.5,92.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Holiday Expenses,103.8,98.8,97.5,100,98.1,96,95.8,94.6,94.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Education,102.1,100.1,98.9,100,97.7,95,92.2,89.5,86.8,83.9,81,77.9,75.1,72.6,72.3,69.1,67.2,65.2,63.1,61,59.1,57.8,55.6,54.1,51.9,49.6,48.3,46.2,44.4,42.9
Tuition & Other Fees,102.1,100.1,98.9,100,97.6,94.9,92.1,89.4,86.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Textbooks & Guides,101,100.6,100.6,100,100.7,100.7,100,98.8,97.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Miscellaneous Goods & Services,99,98.4,98.9,100,99.6,98.2,98.3,98.1,98,96.7,95.5,94.8,94,93.4,93.1,91.3,89.3,87.2,83.4,78.2,74.2,74.3,71.5,70,68.8,67.5,66.4,65.3,64.3,62.4
Personal Care,100,98.4,100,100,99.2,99.2,100.4,100.4,100.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Alcoholic Drinks & Tobacco,100.2,98.9,99.1,100,99.4,94.3,94.1,93.8,92.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Personal Effects,98.1,96.3,93.9,100,100.7,101.6,99.2,98.1,99.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Social Services,94.9,95.4,97.1,100,99.8,98,97.9,97.5,94.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Other Miscellaneous Services,96.6,100.6,100.1,100,100.1,100,99,99,98.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Imputed Rentals On Owner-Occupied Accommodation,108,101.8,99.7,100,99.2,97.9,96.3,95.9,95.7,94.4,92.8,89.7,86.3,83.8,84.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
All Items Less Accommodation,108.2,101.9,99.7,100,99.2,97.8,96.1,95.7,95.4,94.2,92.6,89.6,86.3,83.7,84.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
