address,nearest_station_distance,cbd_distance
406 ANG MO KIO AVE 10,1.0039959848633326,8.663913198088734
108 ANG MO KIO AVE 4,0.18987455924777358,9.76810665413378
602 ANG MO KIO AVE 5,0.5351165997316566,10.887555476352599
465 ANG MO KIO AVE 10,0.9455272607634686,9.14864508063911
601 ANG MO KIO AVE 5,0.5011512387269697,10.928364848521273
150 ANG MO KIO AVE 5,0.6394368518839374,10.359009386531943
447 ANG MO KIO AVE 10,0.7629118956878066,9.281998030408879
218 ANG MO KIO AVE 1,0.9102376589602394,9.070641261995041
571 ANG MO KIO AVE 3,0.5918188895905394,9.562468249408768
534 ANG MO KIO AVE 10,0.6878044084573249,10.004601819889979
233 ANG MO KIO AVE 3,0.4356341197509036,9.419528157568246
235 ANG MO KIO AVE 3,0.5159680301657998,9.344975224098087
219 ANG MO KIO AVE 1,0.7601353934411244,9.180963542547927
536 ANG MO KIO AVE 10,0.7140920051147805,10.050540434385045
230 ANG MO KIO AVE 3,0.32551361628224734,9.541338383226444
570 ANG MO KIO AVE 3,0.7189829351781558,9.533778769211272
624 ANG MO KIO AVE 4,0.5501231185301171,10.90903368636759
441 ANG MO KIO AVE 10,0.6700945428684723,9.1145749208205
625 ANG MO KIO AVE 9,0.4181830560151288,10.964595474104934
119 ANG MO KIO AVE 3,0.5417214838050186,9.529952861625414
255 ANG MO KIO AVE 4,0.2333857396128239,9.801856493991679
432 ANG MO KIO AVE 10,0.4842267694486484,9.363892068238457
211 ANG MO KIO AVE 3,0.6202979179326886,9.521966096425498
584 ANG MO KIO AVE 3,0.44605910294942236,9.63037344240023
118 ANG MO KIO AVE 4,0.2372090453286541,10.07327941434451
333 ANG MO KIO AVE 1,0.9843885328862754,8.586173032747471
256 ANG MO KIO AVE 4,0.11550395226393279,9.770219704567012
330 ANG MO KIO AVE 1,0.8499839046669558,8.707389956438547
557 ANG MO KIO AVE 10,0.9283771444657352,9.754535196235034
302 ANG MO KIO AVE 3,0.5363660623439583,9.247716157564808
575 ANG MO KIO AVE 10,0.7291110187157186,9.716034715639196
509 ANG MO KIO AVE 8,0.45694143770986956,9.99475268532542
472 ANG MO KIO AVE 10,1.2146740346665994,8.817543642866012
475 ANG MO KIO AVE 10,1.1187940180387896,8.751012161407283
629 ANG MO KIO AVE 4,0.5368927054564143,10.742879982986649
546 ANG MO KIO AVE 10,0.9270462771107136,9.9739684308638
131 ANG MO KIO AVE 3,0.583794732713073,9.721210696085269
254 ANG MO KIO AVE 4,0.2515933268560112,9.751363056146968
470 ANG MO KIO AVE 10,1.0254850078953188,8.910205310343901
463 ANG MO KIO AVE 10,0.9418920307460221,9.233752811386923
207 ANG MO KIO AVE 1,0.8749204364138238,9.134431294090986
304 ANG MO KIO AVE 1,0.649406070810399,9.164107499960773
646 ANG MO KIO AVE 6,0.2936291952816968,10.628001088491935
328 ANG MO KIO AVE 3,0.4137765652216295,9.181429007832095
588C ANG MO KIO ST 52,0.5035950187519098,9.755549609167462
588D ANG MO KIO ST 52,0.5217092798693737,9.747550983960032
101 ANG MO KIO AVE 3,0.3489785883513783,9.670238805571003
430 ANG MO KIO AVE 3,0.3711070329834267,9.437915428128447
520 ANG MO KIO AVE 5,0.4240217560760568,9.927527106684353
716 ANG MO KIO AVE 6,0.44464649176449805,9.73300238045665
588A ANG MO KIO ST 52,0.4308172150302769,9.780844109458576
310A ANG MO KIO AVE 1,0.8529957041832323,9.011851350879624
613 ANG MO KIO AVE 4,0.7278006973212544,10.576001403032274
101 BEDOK NTH AVE 4,0.6751585992755336,11.123929031656937
548 BEDOK NTH AVE 1,0.8395106035991342,9.887855882705699
75 BEDOK NTH RD,0.47430637305354084,11.195166674069405
550 BEDOK NTH AVE 1,0.7611821192507879,9.948212575460515
1 BEDOK STH AVE 1,0.5417642368123928,10.014918507092581
151 BEDOK RESERVOIR RD,0.34971871681633976,8.794507256432182
54 CHAI CHEE ST,0.6807282379736685,9.239593546632543
50 CHAI CHEE ST,0.780349647589816,9.351606009273269
105 BEDOK RESERVOIR RD,0.6515477975329853,8.132148668990528
528 BEDOK NTH ST 3,0.5242128985473572,10.196427169501256
534 BEDOK NTH ST 3,0.7787251060540703,9.798295981002296
77 BEDOK NTH RD,0.512160785903486,11.218379706631929
116 BEDOK RESERVOIR RD,0.43741171200939444,8.222861902634007
18 BEDOK STH RD,0.6858247286503482,9.440062952323933
40 CHAI CHEE AVE,0.45131083288593626,9.554477707758803
57 NEW UPP CHANGI RD,0.6232935154232432,10.965964891056954
105 BEDOK NTH AVE 4,0.5741179508689945,10.946140037279623
709 BEDOK RESERVOIR RD,0.49172791949157363,9.727646431801478
42 CHAI CHEE ST,0.6431162882067838,9.595756177237275
55 CHAI CHEE DR,0.8852747505908902,8.886136000100358
2 BEDOK STH AVE 1,0.47384906850378206,9.992704728139483
37 CHAI CHEE AVE,0.4502309876944101,9.494705563191962
425 BEDOK NTH RD,0.6079068947064805,9.986858370349637
117 BEDOK NTH RD,0.9542553815124211,10.971741160006445
423 BEDOK NTH AVE 1,0.5194086377080505,9.764653955586647
533 BEDOK NTH ST 3,0.7056352582451236,9.780455008748707
149 BEDOK RESERVOIR RD,0.48846898554773893,8.912943490615115
35 BEDOK STH AVE 2,0.9093299300989484,10.696348655602145
42 BEDOK STH RD,0.8912464892639026,10.756835774222958
34 BEDOK STH AVE 2,0.9547432794591588,10.54022654763267
7 BEDOK STH AVE 2,0.6217899533886209,10.280670356055154
8 BEDOK STH AVE 2,0.6857005932868864,10.341653030092973
