stn_code,lat,lng
NS1,1.33315281585758,103.742286332403
NS2,1.34903331201636,103.749566478309
NS3,1.35861159094192,103.751790910733
NS4,1.38536316540225,103.744370779756
NS5,1.39753506936297,103.747405150236
NS7,1.42508698073648,103.762137459497
NS8,1.43252114855026,103.774074641403
NS9,1.43681962961519,103.786066799253
NS10,1.44058856161847,103.800990519771
NS11,1.44905082158502,103.820046140211
NS12,1.44307664075699,103.829702590959
NS13,1.42944308477331,103.835005047246
NS14,1.41738337009565,103.832979908243
NS15,1.38175587099132,103.84494727118
NS16,1.36993284962262,103.84955809232
NS17,1.35083898784737,103.848143964542
NS18,1.3404690010277,103.846799083148
NS19,1.33262928096888,103.847502198048
NS20,1.32044079120154,103.843825618748
NS21,1.3123189224097,103.837984594021
NS22,1.30398013681715,103.832245244375
NS23,1.30026416739006,103.839085753124
NS24,1.29870132536119,103.846113677951
NS25,1.29293672227779,103.852585580366
NS26,1.28412561043658,103.851461712342
NS27,1.276410298755,103.854595522263
NS28,1.27102703612006,103.862447515736
EW1,1.37304331635804,103.949284527763
EW2,1.35330167637376,103.945144586749
EW3,1.34319707851829,103.953377214378
EW4,1.32718729074675,103.946348600798
EW5,1.32397996868158,103.929984495066
EW6,1.3210381335934,103.912947930851
EW7,1.31978354916088,103.903225807255
EW8,1.31811149224527,103.893060771576
EW9,1.3164326118157,103.882906044385
EW10,1.31148890998818,103.871386541754
EW11,1.30737781747063,103.862767633888
EW12,1.30046508509717,103.855706730933
EW13,1.29293672227779,103.852585580366
EW14,1.28412561043658,103.851461712342
EW15,1.27656131737246,103.845725186759
EW16,1.28140504772213,103.839130979249
EW17,1.28610253615775,103.827445112419
EW18,1.28963453412887,103.81674097205
EW19,1.29455085184931,103.806077155982
EW20,1.30250199924325,103.798228523336
EW21,1.3072237082044,103.790253514502
EW22,1.31140529320963,103.778637841909
EW23,1.31511625277378,103.765191452888
EW24,1.33315281585758,103.742286332403
EW25,1.34235282081401,103.732596738363
EW26,1.34425911493819,103.720949087456
EW27,1.33860405469845,103.706064622772
EW28,1.33758701106708,103.697321608474
EW29,1.3277170408447,103.678374996165
EW30,1.31947090075208,103.660530461345
EW31,1.32102695598684,103.649078235627
EW32,1.32998504653102,103.639616648771
EW33,1.34088242451105,103.636991425128
CG1,1.33454977824817,103.961548211018
CG2,1.35747897447692,103.98788356959
NE1,1.26538938374901,103.821530157095
NE3,1.27972059383553,103.839439862425
NE4,1.28435959278583,103.843426681863
NE5,1.28838602407588,103.846555209694
NE6,1.29970458121203,103.845488542541
NE7,1.30680019696174,103.849647059738
NE8,1.31190557325774,103.853477716509
NE9,1.31933570922514,103.861569454156
NE10,1.33137949021368,103.869055656782
NE11,1.33919004519388,103.87081830915
NE12,1.34970788089564,103.873574849884
NE13,1.36017917065237,103.885064856353
NE14,1.37129226620797,103.892380513029
NE15,1.38287001971672,103.893122569706
NE16,1.39169462601522,103.895484694279
